id,title,description,author,image_url,genre
15,A husband for Kutani,"First published in 1938, this is a collection of four Oriental tales, including ‘Five Merchants Who Met in a Tea-House,’ and ‘Doctor Shen Fu,’ a tale of a Chinese alchemist who possesses the elixir of life. These beautiful and exotic series of Oriental fantasies, set in a China of the imagination, are brought to life by author Frank Owen’s brilliant descriptive passages that embroider his tales.",Frank Owen,http://books.google.com/books/content?id=EzxODwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
17,"The Ultimate Guide to Law School Admission: Insider Secrets for Getting a ""Big Envelope"" with Your Acceptance to Law School!","This collection brings together a distinguished group of researchers to examine the power relations which are played out in university law schools as a result of the different pressures exerted upon them by a range of different 'stakeholders'. From students to governments, from lawyers to universities, a host of institutions and actors believe that law schools should take account of a vast number of (often conflicting) considerations when teaching their students, designing curricula, carrying out research and so on. How do law schools deal with these pressures? What should their response be to the 'stakeholders' who urge them to follow agendas emanating from outside the law school itself? To what extent should some of these agendas play a greater role in the thinking of law schools?",Fiona Cownie,http://books.google.com/books/content?id=KAjcBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Law
18,"The Repeal of Reticence: A History of America's Cultural and Legal Struggles over Free Speech, Obscenity, Sexual Liberation, and Modern Art","At a time when America's faculties of taste and judgment—along with the sense of the sacred and shameful—have become utterly vacant, Rochelle Gurstein's The Repeal of Reticence delivers an important and troubling warning. Covering landmark developments in America's modern culture and law, she charts the demise of what was dismissively called ""gentility"" in the face of First Amendment triumphs for journalists, sex educators, and novelists—from Margaret Sanger's advocacy of birth control to Judge Woolsey's celebrated defense of Ulysses. Weaving together a study of the legal debates over obscenity and free speech with a cultural study of the critics and writers who framed the issues, Gurstein offers a trenchant reconsideration of the sacred value of privacy.",Rochelle Gurstein,http://books.google.com/books/content?id=6vYwCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Political Science
19,Overcoming Hypertension (Dr. Kenneth H. Cooper's Preventive Medicine Program),"Like a time bomb ticking away, hypertension builds quietly, gradually, placing unbearable strain on the body until it explodes--in heart attack, stroke, kidney failure, arterial disease, even death. But the disease does not have to progress that way. Here, in the third volume of the highly acclaimed Preventive Medicine Program, Dr. Kenneth H. Cooper, one of the nations foremost experts in the field of preventive medicine, presents a medically sound, reassuringly simple program that help you lower you blood pressure--and keep it down, often without drugs. Overcoming Hypertension gives you: --The latest facts on how cholesterol, cigarette smoking, obesity, and stress affect coronary risk levels. --Your high blood pressure risk profile, with newly devised charts for men and women. --A complete fitness program that lets you choose the sport that works for you. Plus a unique illustrated guide to aqua-aerobics. --Tips on talking to your doctor that will help you become an active participant in your own recovery. --A guide to anti-hypertensive drugs--the most up-to-date list of medications, their recommended daily doses, and ways to minimize side effects. --Three distinct dietary programs, complete with menus, recipes, nutritional charts, healthy cooking tips, and much more. --Take charge of your health and well-being with Overcoming Hypertension.",Kenneth H. Cooper,http://books.google.com/books/content?id=guP-e8igrK0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Health & Fitness
20,Alaska Sourdough,"""Sourdough is a magical food"", as author Ruth Allman was fond of saying. There are folks in Alaska who claim the staff of life in their sourdough pots is more than 40 years old or date it to the time when Fairbanks was a mining town. Handwwritten to match the old-timers recipes, this book includes directions for several starters that can ripen in varying times, three days to one year. In this witty and useful last word on sourdough cookery, there are more than 95 recipes, loads of time-tested advice for the novice, and plenty of lore for sourdough fans. In this classic last word on sourdough cookery, there are recipes for Alaskan frontier staples (hotcakes to doughnuts) with time-tested advice and love.",Ruth Allman,http://books.google.com/books/content?id=ubBQAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Cooking
21,The Oxford Handbook of Free Will (Oxford Handbooks),"A guide to current work on free will and related subjects, the focus is on writings of the past 40 years, in which there has been a resurgence of interest in traditional issues about the freedom of the will in the light of new developments in the sciences, philosophy and humanistic studies.",Robert Kane,http://books.google.com/books/content?id=4YUJhIiyMFoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Philosophy
22,Eyewitness Travel Guide to Europe,"The DK Eyewitness Travel Guide: Eastern and Central Europe is your indispensable guide to this beautiful part of the world. The fully updated guide includes unique cutaways, floorplans and reconstructions of the must-see sites, plus street-by-street maps of all the fascinating cities and towns. The new-look guide is also packed with photographs and illustrations leading you straight to the best attractions on offer. The uniquely visual DK Eyewitness Travel Guide: Eastern and Central Europe will help you to discover everything region-by-region; from local festivals and markets to day trips around the countryside. Detailed listings will guide you to the best hotels, restaurants, bars and shops for all budgets, whilst detailed practical information will help you to get around, whether by train, bus or car. Plus, DK's excellent insider tips and essential local information will help you explore every corner of Eastern and Central Europe effortlessly. DK Eyewitness Travel Guide: Eastern and Central Europe showing you what others only tell you.","Dorling Kindersley Publishing Staff', 'Jonathan Bousfield', 'Matthew Willis",http://books.google.com/books/content?id=h4worgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Europe
23,Hunting The Hard Way,"Thrilling stories about hunting wildcat, buffalo, mountain sheep, wild boar, alligator, deer and small game with a bow and arrow.",Howard Hill,http://books.google.com/books/content?id=0lbZCRYJXYIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Sports & Recreation
24,History of Magic and the Occult,"See the history of witchcraft, magic and superstition come to life with this spectacular supernatural book! From alchemy and modern Wicca to paganism and shamanism, this enchanting book takes you on a mystical journey that will leave you spellbound. This is the perfect introduction to magic and the occult! This reference book on witchcraft is packed with: - Informative, engaging, and accessible text and lavish illustrations - Special features on aspects of magic, such as oracle bones of ancient China, the Knights Templar, and magic at the movies, and ""plants and potions"", such as mandrake and belladonna examine topics in great detail - Quick-fact panels that explore magic origins, key figures, key deities, use in spells, structures of religions, and more This indispensable witchcraft book explores the common human fascination with spells, superstition, and the supernatural. It provides you with a balanced and unbiased account of everything from Japanese folklore and Indian witchcraft to the differences between black and white magic and dispelling myths such as those surrounding the voodoo doll and Ouija. Expect the unexpected with A History Of Magic, Witchcraft and the Occult. It will open your eyes to other worlds. Discover forms of divination from astrology and palmistry to the Tarot and runestones. Explore the presence of witchcraft in literature from Shakespeare's Macbeth to the Harry Potter series, and the ways in which magic has interacted with religion. Whether you're a believer or a sceptic, this richly illustrated history book provides a fresh approach to the extensive and complex story of witchcraft, magic and the occult.",DK,http://books.google.com/books/content?id=PSnkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Body, Mind & Spirit"
25,The Forbidden Stories of Marta Veneranda,"Marta Veneranda, a Latina neoyorkina, finds that she inspires the confessional in people. In fact, when people come to her, they feel the need to reveal their most embarrassing and shameful stories. And through these reluctantly told tales, where characters enter and leave each other's narrations, Rivera-Valdes revisits and questions our most basic behavioral assumptions. In ""Little Poisons,"" the narrator shares with Marta the minutiae of her self-help book–assisted liberation from her philandering husband, whom she will eventually poison to death, and whose mistress she will befriend: ""In the fifteen years of marriage he would tell me everything, even about his sexual escapades-if he couldn't share them with me, who would he share them with? Besides, that way no one could come running to me spreading rumors."" Beneath the humor is a dead-serious scrutiny of the commingling of Anglo and Latino cultures. At heart, the stories are an exposé of the comforts and discomforts of that cohabitation.",Sonia Rivera-Valdes,http://books.google.com/books/content?id=A7aYbAvagu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
26,Homer or Moses?: Early Christian Interpretations of the History of Culture (Hermeneutische Untersuchungen zur Theologie),,Arthur J. Droge,http://books.google.com/books/content?id=R0A4HXqmb_8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion
27,Paolo Di Canio Hb,"Understanding Human Motivation is a lively presentation of how factors such as biological nature, instinct, past experience, and society determine what we do. Draws on many different domains of human behavior and links together many motivational factors such as fear, sex, consciousness, and rage. Illustrates the theoretical bases of motivation through real-life examples and case studies. Written in accessible manner for use in courses.",Donald Laming,http://books.google.com/books/content?id=wLQ0bRIyx30C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Psychology
29,Ricky Williams: Dreadlocks to Ditka,"Ricky Williams is not only the best running back in the history of college football, but also a known for his down-to-earth personality and willingness to help others. His decision to stay at UT for his senior year despite opportunities to join the NFL meant the world to UT and fans of the soft-spoken, dreadlocked, talented athlete. Richardson delves deep into the personal life of Williams', who was forced to grow up at an early age in order to take care of his twin sister, younger siblings and divorced mother. Through his responsibiliy to his family and love of football, Ricky Williams' story is truly inspirational.",Steve Richardson,http://books.google.com/books/content?id=7mqCDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Sports & Recreation
31,Portraits of the Presidents: The National Portrait Gallery,"A striking collection of presidential portraits from the National Portrait Gallery, this volume encapsulates the spirit of the most powerful office in the world. America's Presidents showcases the nation's largest collection of portraits of all the presidents beyond the White House's own, capturing the permanent exhibition that lies at the heart of the Portrait Gallery's mission to tell the American story through the individuals who have shaped it. The book explores presidential imagery through portraits ranging from the traditional, such as the iconic and newly restored ""Lansdowne"" portrait of George Washington by Gilbert Stuart, to the contemporary, such as Elaine de Kooning's colorful depiction of John F. Kennedy. Many of the featured portraits reveal much about the sitter, such as the intimate rendering of an informal George W. Bush by Robert Anderson and the fanciful, mosaic-like Chuck Close image of Bill Clinton. Some tell us more about the artist, such as the likeness of Franklin Delano Roosevelt that Douglas Chandor planned to include in a larger work about peace that would commemorate Roosevelt's Yalta meeting with wartime Allied leaders Winston Churchill and Joseph Stalin. Works in other media, including sculptures and daguerreotypes, round out the presidential collection. Lively narratives accompany each piece, exploring the president's background and biography as well as the work's artistic and historical significance. Taken together, the portraits are a powerful visual exploration of the history of the highest office in the land and the diverse men who have held it.",National Portrait Gallery,http://books.google.com/books/content?id=lRVHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Biography & Autobiography
32,Voices from the Farm: Adventures in Community Living,"Twenty-five years ago, at the height of the counter-culture movement, several hundred hippies drove their school buses into southern Tennessee and founded America's largest, modern-day intentional community, The Farm. In its heyday, the community was home to over 1,200 optimistic young people and the young-at-heart. Their purpose for coming together was to experiment with alternative lifestyles that could help raise the standard of living for impoverished people around the world while conserving the planet's resources. The results of these experiments were not always predictable, but were always interesting, and created lasting bonds among community members that are still strong today. The Farm remains a vibrant, working environment for change. Why has it lasted so long? Discover the answers as members past and present recount some of their more memorable experiences.",Rupert Fike,http://books.google.com/books/content?id=IjTABgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Biography & Autobiography
34,The Battleship Bismarck,"The Bismarck is perhaps the most famous – and notorious – warship ever built. Completed in 1941, the 45,000-ton German battleship sank HMS Hood, the pride of the British Navy, during one of the most sensational encounters in naval history. Following the sinking, Bismarck was chased around the North Atlantic by many units of the Royal Navy. She was finally dispatched with gunfire and torpedoes on 27 May, less than five months after her completion. Her wreck still lies where she sank, 4,800m down and 960km off the west coast of France. Drawing on new research and technology, this edition is the most comprehensive examination of Bismarck ever published. It includes a complete set of detailed line drawings with fully descriptive keys and full-colour 3D artwork, supported by technical details, photographs and text on the building of the ship and a record of the ship's service history.",Stefan Draminski,http://books.google.com/books/content?id=nxttDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
35,Treat yourself to life,,Raymond Charles Barker,http://books.google.com/books/content?id=Q6Tkg70-rlEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,New Thought
38,By Honor Bound (The Lassiter Law) (Silhouette Intimate Moments),"A comprehensive guide that defines the literature and the outlines the best-selling genre of all time: romance fiction. • A core collection list in chronological order • An exhaustive bibliographic listing of romance titles • Research materials and a brief history of the genre • Indexes organized by author, title, and subject",Kristin Ramsdell,http://books.google.com/books/content?id=Lh8sLBFwBQgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Language Arts & Disciplines
39,Usa Laminated Map,"The United States ""Explorer"" map is a classic example of the cartographic excellence National Geographic is known for. This colorful political map clearly shows state boundaries, capitals, major highways, rivers, lakes, and many major cities. Insets show detail of Alaska and Hawaii. The color palette is vibrant and stunning shaded relief provides additional texture and detail. The map is encapsulated in heavy-duty 1.6 mil laminate which makes the paper much more durable and resistant to the swelling and shrinking caused by changes in humidity. Laminated maps can be framed without the need for glass, so the fames can be much lighter and less expensive. ""Map Scale = 1:6,396,000Sheet Size = 32"" x 20.25""""",National Geographic Maps,http://books.google.com/books/content?id=uyiRoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Reference
40,The New Conspiracy Reader: From Planet X to the War on Terrorism-What You Really Don't Know,"This book examines a wide array of phenomena that arguably constitute the most noxious, extreme, terrifying, murderous, secretive, authoritarian, and/or anti-democratic aspects of national and international politics. Scholars should not ignore these ""dark sides"" of politics, however unpleasant they may be, since they influence the world in a multitude of harmful ways. The first volume in this two-volume collection focuses on the history of underground neo-fascist networks in the post-World War II era; neo-fascist paramilitary and terrorist groups operating in Europe and Latin America in the 1960s and 1970s; and the manipulation of those and other terrorist organizations by the security forces of various states, both authoritarian and democratic. A range of global case studies are included, all of which focus on the lesser known activities of certain secular extremist milieus. This collection should prove to be essential reading for students and researchers interested in understanding seemingly arcane but nonetheless important dimensions of recent historical and contemporary politics.",Jeffrey M. Bale,http://books.google.com/books/content?id=mtszDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Political Science
41,Guide to Owning a Birman Cat (Popular Cat Library),"A guide to the history, feeding, grooming, exhibition, temperament, health, and breeding of Birman cats.",Karen Cummings,http://books.google.com/books/content?id=yyBPGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Nonfiction
42,The Handbook of Community Practice,"Encompassing community development, organizing, planning, & social change, as well as globalisation, this book is grounded in participatory & empowerment practice. The 36 chapters assess practice, theory & research methods.","Marie Weil', 'Michael S. Reisch', 'Mary L. Ohmer",http://books.google.com/books/content?id=pcM5DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Social Science
43,Tess and the Highlander,"In 1543, on a windswept isle off of Scotland, seventeen-year-old Tess finds a young man half alive in a tidal pool while a great storm rages around them, but little does Tess know that this stranger holds the key to her mysterious past and to her heart. Original.",May Mcgoldrick,http://books.google.com/books/content?id=VmCRSPmY3WkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Juvenile Fiction
44,Beginner's Yoruba (Hippocrene Beginner's Series),"""Beginner's Yoruba"" is now available with two accompanying audio CDs. It provides an introduction to the Yoruba language, which is spoken by over 30 million people in south-western Nigeria, parts of the Benin Republic, and Togo, as well as in the diaspora populations of Brazil, Cuba, and Haiti. The 15 lessons are designed for both classroom use and self-study. Practice dialogues, combined with grammatical explanations, aid the student in understanding the basics of the language. Each lesson also contains a vocabulary section that highlights the important aspects of its featured topic. The audio CDs, which complement the lessons, help the student easily master the language's unique tones and vowel sounds, often considered the most difficult aspect of the language to learn. Quizzes and practice exercises are integrated into the lessons to help reinforce the material. The book also includes information on various aspects of Yoruba culture, including religion, songs, and folklore.",Kayode J. Fakinlede,http://books.google.com/books/content?id=xLe4nWzeSw0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Foreign Language Study
45,"A Dose of Sanity: Mind, Medicine, and Misdiagnosis","""Bravo to Dr. Sydney Walker. He has written a masterful book for current and prospective mental health consumers. Before filling a prescription for Prozac or Ritalin, make sure you get A Dose of Sanity.""--Charles B. Inlander President, People's Medical Society Has your child been labeled hyperactive? Has your parent been diagnosed with senile dementia? Did your doctor prescribe Prozac for your so-called depression? If you answered ""yes"" to any of these questions, you need A Dose of Sanity. Each year, hundreds of thousands of Americans who are actually suffering from common medical conditions such as hyperthyroidism, Lyme disease, and even poor nutrition are misdiagnosed with psychiatric disorders. Studies show that the rate of misdiagnosis is more than 4 in 10. In this powerful book, practicing psychiatrist Dr. Sydney Walker explains why psychiatric misdiagnosis is so common. More importantly, he helps you and those you love avoid the misdiagnosis trap. Dr. Walker's unique 24-Hour-Day Profile lets you track physical and emotional changes over the course of a day to give your physician valuable clues to what your symptoms really mean.",Sydney Walker,http://books.google.com/books/content?id=Eu3ywAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Medical
46,King James: Believe the Hype---The LeBron James Story,"LeBron James is a six-foot-eight gift from the basketball heavens. For the past three years he was the undisputed finest high school player in America. He was the one NBA scouts drooled over, corporations dreamt of, event promoters begged for, and now NBA fans clamor after. With appearances on the cover of Sports Illustrated and features on ESPN and in newspapers across the country, never before has a high school basketball player been so highly touted or an eighteen-year-old athlete been the subject of such fascination. In fact, no basketball player in the world has had this level of attention this year. Love him or hate him, there is no denying that LeBron James is a force on the basketball court, and his rags-to riches story is the stuff that dreams are made of. Now, for the first time, author Ryan Jones has written a book that incorporates everything that is King James: the controversy, the athletic potential, the jerseys and the Humvee, the hobnobbing with the world's most famous stars, the money, and, of course, the game. This is a book for every fan of LeBron James and for anybody interested in reading about an NBA basketball career in the making.",Ryan Jones,http://books.google.com/books/content?id=hlGqehyJhywC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Sports & Recreation
48,Building the timber frame house: The revival of a forgotten craft,"For centuries, post-and-beam construction has proved to be one of the most durable building techniques. It is being enthusiastically revived today not only for its sturdiness but because it can be easily insulated, it is attractive, and it offers the builder the unique satisfaction of working with timbers. Building the Timber Frame House is the most comprehensive manual available on the technique. In it you will find a short history, of timber framing and a fully illustrated discussion of the different kinds of joinery, assembly of timbers, and raising of the frame. There are also detailed sections on present-day design and materials, house plans, site development, foundation laying, insulation, tools, and methods.",Tedd Benson,http://books.google.com/books/content?id=6uxXorE4r-UC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Architecture
50,"Eight Men And A Lady (Elizabeth Sinclair, Harlequin American Romance, No. 677)","Eight Men And A Lady by Elizabeth Sinclair released on Mar 25, 1997 is available now for purchase.",Elizabeth Sinclair,http://books.google.com/books/content?id=Z6uzJgLWViUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Fiction
51,Pyrography Designs,"This book offers 30 North American wildlife illustrations and 10 border designs to use in woodburning projects. Large ready-to-use designs are provided in both line and tonal patterns. The author includes tips on transferring patterns, plus advice on segmenting and manipulating the images to create your own custom designs.",Sue Walters,http://books.google.com/books/content?id=f5hOnQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Art
52,"The ancient constitution and the feudal law,: A study of English historical thought in the seventeenth century",Pocock explores the relationship between the study of law and the historical outlook of seventeenth-century Englishmen.,J. G. A. Pocock,http://books.google.com/books/content?id=BgvsfkQe4dUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,History
54,Seance,"Mysterieus, duister en passioneel Londen, 19de eeuw. Dr. Francis Whitman, ooit een gevierd chemicus, wordt door een journalist gevraagd om een seance bij te wonen van het lokale fenomeen Elizabeth Archer. Zijn opdracht is om op wetenschappelijke wijze aan te tonen dat dit spirituele medium een oplichtster is. Het feit dat Miss Archer nooit in één ruimte te zien is met de geest die ze oproept en dat ze als twee druppels water op elkaar lijken, maakt het werk van Dr. Whitman aanvankelijk eenvoudig. Maar niets is wat het lijkt, vooral wanneer er een dodelijk slachtoffer valt... Seance is een duistere, historische thriller waarin passie, gruwel en spanning naadloos in elkaar worden verweven; een spannende roman in de Angelsaksische traditie.",Kevin Valgaeren,http://books.google.com/books/content?id=BiOTCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fiction
55,"Open marriage;: A new life style for couples,",Advocates the importance of individuality in both partners in order to develop an open relationship in marriage,"Nena O'Neill"", ""George O'Neill",http://books.google.com/books/content?id=xY2SD7v3070C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Family & Relationships
56,Victoria Magazine July 1994,"John Ruskin's 'Sesame and Lilies', first published in 1865, is a classic 19th-century statement on the natures and duties of men and women. This volume reunites the two halves of the work: 'Of Kings' Treasuries' and 'Of Queens' Gardens', along with essays placing the work in historical context.",John Ruskin,http://books.google.com/books/content?id=FYWDIoE5rN4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Literary Collections
57,The Ground and Grammar of Theology,"The futures seems to be full of promise and excitement. Certainly at no time for nearly a millenium and a half has the opportunity for genuine theology been greater, since the ground has been cleared in the remarkable way of the old dualist and atomistic modes of thought that have plagued theology for centuries. It is, therefore, up to us as theologians to develop theology on its own proper ground in this scientific context, if only because this is the kind of life and culture, and the kind of theology that can support the message of the Gospel to mankind, as, in touch with the advances of natural science, theology comes closer and closer to a real understanding of the creation as it came from the hand of God.",Thomas F. Torrance,http://books.google.com/books/content?id=1vQRBwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion
58,"Mary, Mary",,United States. Coast Guard,http://books.google.com/books/content?id=zPAjAQAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Merchant marine
59,No place to cry: The hurt and healing of sexual abuse,"Just as God gave Dorie Van Stone a tender heart to forgive her abusers, He also gave her the strength to reveal her past in No Place to Cry, the sequel to the best-seller Dorie: The Girl Nobody Loved. Through her candor you will gain insight into the trauma of emotional and sexual abuse.","Dorie N. Van Stone', 'Erwin W. Lutzer",http://books.google.com/books/content?id=J9NKUAfjGU8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Religion
62,"Grants and Awards Available to American Writers (Grants and Awards Available to American Writers, 21st ed)",,John Morrone,http://books.google.com/books/content?id=uAig89PtTHkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,America
64,Academic Freedom after September 11,This is a provocative examination of the current state of academic freedom in the United States and around the world.,"Evan Gerstmann', 'Matthew Justin Streb",http://books.google.com/books/content?id=Ry2E9mBjOOAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Law
